respondent_id,form_key,block_id,version,timestamp,years_experience,years_experience_label,aum_category,institution_type,investment_mandate,geographic_focus,discretionary_authority,certifications,manipulation_check,usefulness_rating,is_pilot_block,completion_time,pilot_clarity,pilot_dashboard_ease,pilot_realism,open_feedback,contact_optional,scenario_position,nrs,nrs_invalid,scenario_id,show_sc,show_sc_conflict,metadata_join_failed,ticker,company_name,gics_sector,event_date,event_type,sc_total,ac_e,se_e,ai_e,es_raw,market_regime
block_1_v1_row0002,block_1_v1,1,1,2026-05-04 10:31:56,3.5,2–5,Less than $50M,Independent/RIA,Equity long-short,Global/multi-region,Full discretion,"CFA, Other",Yes,5,True,Less than 15 minutes,4,4,4,,,3,6,False,B1_S02,1,False,False,COP,ConocoPhillips,Energy,2025-09-08,analyst,,,,,,
block_1_v1_row0002,block_1_v1,1,1,2026-05-04 10:31:56,3.5,2–5,Less than $50M,Independent/RIA,Equity long-short,Global/multi-region,Full discretion,"CFA, Other",Yes,5,True,Less than 15 minutes,4,4,4,,,4,2,False,B1_S06,0,False,False,GE,GE Aerospace,Industrials,2025-07-08,management,,,,,,
block_1_v1_row0002,block_1_v1,1,1,2026-05-04 10:31:56,3.5,2–5,Less than $50M,Independent/RIA,Equity long-short,Global/multi-region,Full discretion,"CFA, Other",Yes,5,True,Less than 15 minutes,4,4,4,,,5,1,False,B1_S03,1,False,False,LIN,Linde,Materials,2026-02-04,earnings,,,,,,
block_1_v1_row0002,block_1_v1,1,1,2026-05-04 10:31:56,3.5,2–5,Less than $50M,Independent/RIA,Equity long-short,Global/multi-region,Full discretion,"CFA, Other",Yes,5,True,Less than 15 minutes,4,4,4,,,6,5,False,B1_S07,0,False,False,T,AT&T,Communication Services,2026-01-30,earnings,,,,,,
block_1_v1_row0002,block_1_v1,1,1,2026-05-04 10:31:56,3.5,2–5,Less than $50M,Independent/RIA,Equity long-short,Global/multi-region,Full discretion,"CFA, Other",Yes,5,True,Less than 15 minutes,4,4,4,,,7,4,False,B1_S04,1,False,False,UNH,UnitedHealth Group,Health Care,2025-12-02,management,,,,,,
block_1_v1_row0002,block_1_v1,1,1,2026-05-04 10:31:56,3.5,2–5,Less than $50M,Independent/RIA,Equity long-short,Global/multi-region,Full discretion,"CFA, Other",Yes,5,True,Less than 15 minutes,4,4,4,,,8,4,False,B1_S08,0,False,False,QCOM,Qualcomm Inc.,Information Technology,2025-10-13,management,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,1,4,False,B1_S01,0,False,False,APD,Air Products and Chemicals,Materials,2025-04-09,analyst,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,2,4,False,B1_S05,1,False,False,HD,Home Depot,Consumer Discretionary,2025-08-19,earnings,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,3,4,False,B1_S02,0,False,False,COP,ConocoPhillips,Energy,2025-09-08,analyst,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,4,4,False,B1_S06,1,False,False,GE,GE Aerospace,Industrials,2025-07-08,management,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,5,4,False,B1_S03,0,False,False,LIN,Linde,Materials,2026-02-04,earnings,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,6,4,False,B1_S07,1,False,False,T,AT&T,Communication Services,2026-01-30,earnings,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,7,4,False,B1_S04,0,False,False,UNH,UnitedHealth Group,Health Care,2025-12-02,management,,,,,,
block_1_v2_row0001,block_1_v2,1,2,2026-04-17 14:29:48,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,3,True,Less than 15 minutes,3,3,3,,,8,4,False,B1_S08,1,False,False,QCOM,Qualcomm Inc.,Information Technology,2025-10-13,management,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,1,4,False,B1_S01,0,False,False,APD,Air Products and Chemicals,Materials,2025-04-09,analyst,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,2,3,False,B1_S05,1,False,False,HD,Home Depot,Consumer Discretionary,2025-08-19,earnings,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,3,6,False,B1_S02,0,False,False,COP,ConocoPhillips,Energy,2025-09-08,analyst,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,4,4,False,B1_S06,1,False,False,GE,GE Aerospace,Industrials,2025-07-08,management,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,5,5,False,B1_S03,0,False,False,LIN,Linde,Materials,2026-02-04,earnings,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,6,4,False,B1_S07,1,False,False,T,AT&T,Communication Services,2026-01-30,earnings,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,7,5,False,B1_S04,0,False,False,UNH,UnitedHealth Group,Health Care,2025-12-02,management,,,,,,
block_1_v2_row0002,block_1_v2,1,2,2026-04-29 14:26:26,8.0,6–10,$500M–$2B,Family office,Multi-asset,Global/multi-region,Full discretion,None,Yes,3,True,Less than 15 minutes,4,4,2,None,,8,4,False,B1_S08,1,False,False,QCOM,Qualcomm Inc.,Information Technology,2025-10-13,management,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,1,3,False,B1_S01,0,False,False,APD,Air Products and Chemicals,Materials,2025-04-09,analyst,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,2,4,False,B1_S05,1,False,False,HD,Home Depot,Consumer Discretionary,2025-08-19,earnings,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,3,3,False,B1_S02,0,False,False,COP,ConocoPhillips,Energy,2025-09-08,analyst,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,4,6,False,B1_S06,1,False,False,GE,GE Aerospace,Industrials,2025-07-08,management,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,5,6,False,B1_S03,0,False,False,LIN,Linde,Materials,2026-02-04,earnings,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,6,7,False,B1_S07,1,False,False,T,AT&T,Communication Services,2026-01-30,earnings,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,7,4,False,B1_S04,0,False,False,UNH,UnitedHealth Group,Health Care,2025-12-02,management,,,,,,
block_1_v2_row0003,block_1_v2,1,2,2026-05-04 10:28:45,8.0,6–10,Less than $50M,Family office,Equity long-only,Global/multi-region,Full discretion,"CFA, FRM",Yes,4,True,Less than 15 minutes,4,5,5,,,8,4,False,B1_S08,1,False,False,QCOM,Qualcomm Inc.,Information Technology,2025-10-13,management,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,1,4,False,B3_S01,1,False,False,ORCL,Oracle Corporation,Information Technology,2026-02-11,analyst,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,2,4,False,B3_S05,0,False,False,PLD,Prologis,Real Estate,2025-03-13,management,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,3,4,False,B3_S02,1,False,False,PG,Procter & Gamble,Consumer Staples,2025-03-04,analyst,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,4,4,False,B3_S06,0,False,False,PFE,Pfizer Inc.,Health Care,2025-10-01,earnings,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,5,4,False,B3_S03,1,False,False,AMT,American Tower Corp.,Real Estate,2025-04-04,earnings,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,6,4,False,B3_S07,0,False,False,MCD,McDonald's,Consumer Discretionary,2025-11-05,earnings,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,7,4,False,B3_S04,1,False,False,NFLX,Netflix,Communication Services,2026-02-04,management,,,,,,
block_3_v1_row0001,block_3_v1,3,1,2026-05-15 13:16:54,25.0,More than 20,$50M–$500M,Asset manager,Multi-asset,Europe,Partial (committee-based),"CFA, FRM, CAIA, Other",Unsure,1,False,,,,,,,8,4,False,B3_S08,0,False,False,AMAT,Applied Materials,Information Technology,2025-08-15,analyst,,,,,,
